parent,entity,qualifier,cardinality,type
adms:Identifier,skos:notation,mandatory,0..1,attribute
dcat:Dataset,adms:versionNotes,optional,0..n,attribute
dcat:Dataset,dcat:keyword,recommended,0..n,attribute
dcat:Dataset,dcat:spatialResolutionInMeters,optional,0..1,attribute
dcat:Dataset,dcat:temporalResolution,optional,0..1,attribute
dcat:Dataset,dct:description,mandatory,1..n,attribute
dcat:Dataset,dct:identifier,mandatory,1..n,attribute
dcat:Dataset,dct:isReferencedBy,optional,0..n,attribute
dcat:Dataset,dct:issued,optional,0..1,attribute
dcat:Dataset,dct:modified,optional,0..1,attribute
dcat:Dataset,dct:relation,optional,0..n,attribute
dcat:Dataset,dct:title,mandatory,1..n,attribute
dcat:Dataset,owl:versionInfo,optional,0..1,attribute
dcat:DatasetSeries,dct:description,mandatory,1..n,attribute
dcat:DatasetSeries,dct:issued,optional,0..1,attribute
dcat:DatasetSeries,dct:modified,optional,0..1,attribute
dcat:DatasetSeries,dct:title,mandatory,1..n,attribute
dcat:Distribution,dcat:accessURL,mandatory,1..n,attribute
dcat:Distribution,dcat:byteSize,optional,0..1,attribute
dcat:Distribution,dcat:downloadURL,optional,0..n,attribute
dcat:Distribution,dcat:spatialResolutionInMeters,optional,0..n,attribute
dcat:Distribution,dcat:temporalResolution,optional,0..n,attribute
dcat:Distribution,dct:description,recommended,0..n,attribute
dcat:Distribution,dct:issued,optional,0..1,attribute
dcat:Distribution,dct:modified,optional,0..1,attribute
dcat:Distribution,dct:title,optional,0..n,attribute
dct:Location,dcat:bbox,recommended,0..1,attribute
dct:Location,dcat:centroid,recommended,0..1,attribute
dct:PeriodOfTime,dcat:endDate,recommended,0..1,attribute
dct:PeriodOfTime,dcat:startDate,recommended,0..1,attribute
dct:PeriodOfTime,time:hasBeginning,optional,0..1,attribute
dct:PeriodOfTime,time:hasEnd,optional,0..1,attribute
foaf:Agent,foaf:name,mandatory,1..n,attribute
skos:Concept,skos:prefLabel,mandatory,1..n,attribute
dcat:Dataset,adms:identifier,optional,0..n,relationship
dcat:Distribution,dcat:accessService,optional,0..n,relationship
dcat:Dataset,dct:hasVersion,optional,0..n,relationship
dcat:Dataset,adms:sample,optional,0..n,relationship
dcat:Dataset,dcat:distribution,recommended,0..n,relationship
dcat:Dataset,dct:type,optional,0..1,relationship
dcat:Dataset,dct:accessRights,optional,0..1,relationship
dcat:Dataset,dct:language,optional,0..n,relationship
dcat:Dataset,dpv:hasData,optional,0..n,relationship
dcat:Dataset,dcat:landingPage,optional,0..n,relationship
dcat:Dataset,dct:provenance,optional,0..n,relationship
dcat:Dataset,dcat:inSeries,recommended,0..n,relationship
dcat:Dataset,dct:source,optional,0..n,relationship
dcat:Dataset,prov:qualifiedRelation,optional,0..1,relationship
dcat:Dataset,dct:isVersionOf,optional,0..n,relationship
dcat:Dataset,prov:wasGeneratedBy,optional,0..n,relationship
dcat:Dataset,dcat:theme,recommended,0..n,relationship
dcat:Dataset,dct:spatial,recommended,0..n,relationship
dcat:Dataset,dct:temporal,recommended,0..n,relationship
dcat:Dataset,dct:creator,optional,0..1,relationship
dcat:Dataset,foaf:page,optional,0..n,relationship
dcat:Dataset,dct:conformsTo,optional,0..n,relationship
dcat:Dataset,prov:qualifiedAttribution,optional,0..n,relationship
dcat:Dataset,dct:publisher,recommended,0..1,relationship
dcat:Dataset,dcat:contactPoint,recommended,0..n,relationship
dcat:Dataset,dct:accrualPeriodicity,optional,0..1,relationship
dcat:Dataset,dcatap:applicablelegislation,optional,0..n,relationship
dcat:Relationship,dcat:qualifiedRelation,mandatory,0..1,relationship
dcat:DatasetSeries,dct:publisher,None,0..1,relationship
dcat:DatasetSeries,dcat:contactPoint,None,0..n,relationship
dcat:DatasetSeries,dcatap:applicablelegislation,None,0..n,relationship
dcat:DatasetSeries,dct:spatial,None,0..n,relationship
dcat:DatasetSeries,dct:accrualPeriodicity,None,0..1,relationship
dcat:Distribution,dcat:packageFormat,optional,0..1,relationship
dcat:Distribution,odrl:hasPolicy,optional,0..1,relationship
dcat:Distribution,dct:conformsTo,optional,0..n,relationship
dcat:Distribution,dcatap:availability,optional,0..1,relationship
dcat:Distribution,spdx:checksum,optional,0..1,relationship
dcat:Distribution,foaf:page,optional,0..n,relationship
dcat:Distribution,dcat:mediaType,optional,0..1,relationship
dcat:Distribution,dcatap:applicablelegislation,optional,0..n,relationship
dcat:Distribution,dct:rights,optional,0..1,relationship
dcat:Distribution,adms:status,optional,0..1,relationship
dcat:Distribution,dct:language,optional,0..n,relationship
dcat:Distribution,dct:format,recommended,0..1,relationship
dcat:Distribution,dcat:compressFormat,optional,0..1,relationship
dcat:Distribution,dct:license,recommended,0..1,relationship
dct:LicenseDocument,dct:type,recommended,0..n,relationship
dct:Location,locn:geometry,None,0..1,relationship
foaf:Agent,dct:type,recommended,0..1,relationship
